TRAIT	Type (Trait/Medication/Operation/Family History)	Category	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)
Dcm	Trait	heart disease	Dilated Cardiomyopathy					I420 (Dilated Cardiomyopathy)	4254 (Dilated Cardiomyopathy likely not available)			G5544		G5544, X201c, XE0Uz							
Hcm	Trait	heart disease	Hypertrophic cardiomyopathy					I421(Obstructive hypertrophic cardiomyopathy),I422(Other hypertrophic cardiomyopathy)	4251 (Hypertrophic obstructive cardiomyopathy)			G551.		G551., X201Y					1588 (hypertrophic cardiomyopathy)		
Hf	Trait	heart disease	Heart failure					I50(Heart failure),I110(Hypertensive heart disease with heart failure),I130(Hypertensive heart and renal disease with [congestive] heart failure),I132(Hypertensive heart and renal disease with both [congestive] heart failure and renal failure),Z941 (heart transplant status), T862 (T86.2 Heart transplant failure and rejection)	428(Heart failure)	K02 (heart transplant)		14S3., G2101, G2111, G21z1, G232., G234., G58.., G5800, G5802, G5803, G5810, G582., SP084, SP111, G581., 1O1.., G583., ZV421		14S3., G2101, G2111, G21z1, G232., G234., G58.., G5800, G5802, G5803, G5810, G582., SP084, X202k, X202v, X202w, XE2QG, XaIpn, XaWyi, ZV421, X00y3					1076 (heart failure/pulmonary odema)		1098 (heart transplant)
Mi	Trait	heart disease	Myocardial infarction					I21(Acute myocardial infarction),I22(Subsequent myocardial infarction),I23(Certain current complications following acute myocardial infarction),I252(Old myocardial infarction)	410(Acute myocardial infarction),412(Old myocardial infarction)			323.., 323Z., G35.., G36.., G30.., G32.., 14AH., G30z., G38.., 14A4., G380., G381., G382., G383., G38z., G300., G301., G3010, G3011, G301z, G302., G303., G304., G305., G306., G307., G308., G30y., G30y0, G30y1, G30y2, G30yz, Gyu34, G350., G351., G353., Gyu35, Gyu36, G344., G309., G3070, G362., 14A3., G384.		14A3., 323.., 14A4., 3233, 3234, 3235, 3236, 323Z., G35.., G36.., X200E, X200W, X200X, X200Y, X200Z, X200a, X203v, XE0Uh, XE2aA, XaBL1, XaD2b, XaD2d, XaD2e, XaD2f, XaD2g, XaD2h, XaD2i, XaIf1, G300., G301., G3010, G3011, G301z, G303., G302., G304., G305., G306., G307., G308., G30y0, G30y., G30y2, G30yz, G30z., G350., G351., G353., X200K, X200J, X200H, X200I, X200G, X200D, Gyu34, Gyu35, Gyu36, X200V, X200U, X200T, X200S, X200Q, X200R, X200P, X200O, X200N, X200M, X200L, X200d, Xa0YL			6150=1[3894]		1075 (heart attack/myocardial infarction)		
Pci	Operation	cardiovascular disease	Percutaneous Coronary Intervention							K49 (Transluminal balloon angioplasty of coronary artery), K50 (Other therapeutic transluminal operations on coronary artery), K75 (Percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery)		7928, 7929, 793G., 79280, 79281, 79282, 7928y, 7928z, 79290, 79292, 7929y, 7929z, 7A547, 79294, 793G0, 793G1, 793G2, 793Gy, 793Gz, 79283, 793Ny, 793Nz		XaLgU, 7928, 79280, 79281, 79282, 7928y, 7928z, 7929, 79290, 79292, 7929y, 7929z, X00tS, X00tT, X00tU, X013N, XaLgV, XaLgW, XaLgX, XaLgZ, XaLga, XaMKE, XaXIX							1070 (coronary angioplasty +/- stent)
Cabg	Operation	cardiovascular disease	Coronary Artery Bypass Graft					Z951(Presence of cardiac and vascular implants and grafts)		K40,K41,K42,K43,K44,K45,K46		7920, 7921, 7922, 7923, 792.., 792D., 792C.		792C., 792D., 7920, 7921, 7922, 7923, X00tE, X00tH, X00tI, X00tJ, X00tK, X00tL							1095 (cabg), 1523 (triple heart bypass)
Af	Trait	heart rhythm disorder	Atrial fibrillation/Atrial flutter					I48(Atrial fibrillation and flutter)	4273(Atrial fibrillation and flutter)	K621 (Percutaneous transluminal ablation of pulmonary vein to left atrium conducting system), K622, K623		G5730, G573., G5731, G573z, G5733, G5732, 793M0, 793M1, 793M3, 79345, 79348		XaEga, G573., G5730, G5731, G573z, X202R, X202S, Xa2E8, XaMmd, XaMmc, XaMrB, XaLgF, XaMrA					1471 (atrial fibrillation), 1483 (atrial flutter)		
Cad	Trait	cardiovascular disease	Coronary Artery Disease				Mi,Cabg, Pci	I24(I24 Other acute ischaemic heart diseases), I25(I25 Chronic ischaemic heart disease), Z955(Z95.5 Presence of coronary angioplasty implant and graft)	414(Other forms of chronic ischaemic heart disease)	K75		G34y1, G34.., G3..., ZV45L, G34z0, ZV458, 793G., 79280, 79281, 79282, 7928y, 7928z, 79292, 7929y, 7929z, 792.., 7A547, 793Gy, 793Gz, 79283		G34y1, XE0WG, XE2uV, XaC1g, XaG1Q, XaQiY, ZV458, G34.., X200b, Xa1dP, XaLgU, 79280, 79281, 79282, 7928y, 7928z, 79292, 7929y, 7929z, X00tT, X013N, XE0Em, XaLgZ, XaLga, XaMKE							
Dm	Trait	endocrine	Diabetes Mellitus				DmT1,DmT2	E12,E13,E14	250 (Diabetes mellitus)			C10..		C10.., X40J4, X40J5, X40J6, X40JJ, X40Jj, X40JI			2443=1[2976] (Diabetes diagnosed by doctor)		1220 (diabetes)		
DmRx	Trait	endocrine	Diabetes Mellitus (incl. medication)				Dm,RxDm														
